SST,TPJ_CAT12,Pcu_CAT12,dmPFC_CAT12,AnG_CAT12,LOC_CAT12,mFC_CAT12,MTG_CAT12,Pcu-L_CAT12,TP_CAT12,TPJ_FSL,Pcu_FSL,dmPFC_FSL,AnG_FSL,LOC_FSL,mFC_FSL,MTG_FSL,Pcu-L_FSL,TP_FSL
7,0.468108878700524,0.385801556544156,0.385801556544156,0.428970385605989,0.212192390685492,0.510447162311202,0.396021937532329,0.500880775362497,0.428373079473236,0.6527595439,0.37712961,0.817249893,0.6313689291,0.1900505126,0.5223392034,0.4804793792,0.5900037253,0.6503457555
10,0.384077354581269,0.372269847978831,0.372269847978831,0.401072527138993,0.179800864118304,0.411004239076392,0.357229216849091,0.549849874093535,0.329402600184947,0.6061970947,0.5665013757,0.5188450184,0.6448019601,0.221760588,0.5701248306,0.4959324217,0.7932897955,0.5014277076
7,0.369397126482016,0.29827250696313,0.29827250696313,0.447212064751359,0.179540541861162,0.376335004847236,0.330671572230578,0.460248913658473,0.287275582953275,0.6883215054,0.5345609771,0.4372540903,0.6657932845,0.1835244211,0.5882923913,0.6061293403,0.7281790327,0.4742036673
8,0.398019081628968,0.349715775836355,0.349715775836355,0.424924785731534,0.168136567553667,0.418557840402708,0.357052372507223,0.503948232034697,0.308169187531878,0.5620411178,0.4929829629,0.5493418752,0.7189048008,0.1500927293,0.5146531957,0.4712595184,0.7245939031,0.4474439563
9,0.379780121415279,0.352459955637712,0.352459955637712,0.433896970484666,0.171390595767937,0.396547577052299,0.350613050698162,0.545739114792708,0.32003308133172,0.5758702789,0.5264404062,0.5920384781,0.6856312338,0.213019623,0.6632277942,0.5737150678,0.8100424018,0.5272415923
10,0.334889153028386,0.336354889708464,0.336354889708464,0.357953509541098,0.140743228323597,0.432853241651275,0.292817767383033,0.462895743038497,0.30426231307573,0.5723087145,0.6541495602,0.6107135018,0.6034529942,0.2034244846,0.6533804109,0.4663316479,0.7687955294,0.5318139229
8,0.327335551702069,0.369209738508242,0.369209738508242,0.407385341009818,0.190518703333761,0.39395274457339,0.380280967968503,0.449073820009575,0.370714078037901,0.4293618622,0.4313760201,0.5005422646,0.5112424139,0.1819754166,0.5091708185,0.3628838593,0.5125941377,0.5426971649
7,0.378083218254636,0.456911447327104,0.456911447327104,0.449603309762816,0.177417056020764,0.452277835066839,0.443016954030675,0.536731445618776,0.406313106639036,0.4302515048,0.511678666,0.653480357,0.5567811245,0.2203535522,0.5914384748,0.4330467671,0.7208003676,0.6028183217
8,0.420650565466913,0.326452698738508,0.326452698738508,0.461293232934766,0.19469501611619,0.468206001667602,0.345212917289771,0.638631621549076,0.365058569598559,0.5670974051,0.5850182156,0.4377718475,0.6625531829,0.1924869516,0.6099573805,0.4686067134,0.8965410677,0.4642336044
3,0.36563498588936,0.343900465761994,0.343900465761994,0.38348201082283,0.171429644106508,0.429752636740036,0.344603989349729,0.5959168281886,0.343582699292359,0.6940591827,0.6240733,0.5615375063,0.7530707409,0.2343263818,0.5728556929,0.5934608316,0.9888560155,0.4668776657
